城市,09/25星期日,09/26星期一,09/27星期二,09/28星期三,09/29星期四,09/30星期五,10/01星期六
基隆市,24~25,24~27,24~27,24~27,24~26,24~26,24~26
臺北市,24~25,24~28,24~28,24~28,24~27,24~27,24~27
新北市,25~26,24~28,24~28,24~28,24~28,25~28,24~27
桃園市,25~26,24~29,24~29,24~28,24~28,24~28,24~27
新竹市,25~28,25~29,25~30,25~29,25~29,25~29,25~28
新竹縣,25~27,24~29,24~30,25~29,24~29,24~29,25~28
苗栗縣,24~28,24~29,24~29,24~28,24~28,24~29,24~28
臺中市,26~30,26~31,26~31,26~30,26~30,26~30,26~29
彰化縣,26~29,25~30,26~30,26~29,25~29,26~29,25~28
南投縣,25~30,24~30,25~30,24~29,24~29,25~29,24~29
雲林縣,25~29,25~29,25~29,25~29,24~28,24~28,24~28
嘉義市,24~29,24~29,24~29,24~28,24~28,24~28,24~28
嘉義縣,25~29,25~30,25~29,25~29,25~29,25~29,24~28
臺南市,27~30,27~29,26~29,26~29,26~29,26~29,26~29
高雄市,28~30,27~30,27~30,27~30,27~30,27~30,27~30
屏東縣,26~29,25~29,25~29,25~29,25~29,25~29,25~29
宜蘭縣,24~26,23~27,23~27,23~27,24~27,23~27,23~27
花蓮縣,24~28,24~28,24~28,24~28,24~28,24~28,24~28
臺東縣,25~28,25~28,25~28,24~28,25~28,25~28,24~28
澎湖縣,26~28,26~28,26~28,26~28,26~28,26~28,26~27
金門縣,26~27,26~28,26~28,26~28,26~28,26~28,26~28
連江縣,24~25,25~26,25~26,25~27,25~27,25~27,25~27
